account_id,customer_id,account_type,opened_date
A1000,C001,savings,2021-09-11
A1001,C002,brokerage,2025-03-14
A1002,C003,business,2023-02-20
A1003,C004,checking,2023-01-31
A1004,C004,checking,2024-10-14
A1005,C005,savings,2024-06-22
A1006,C006,checking,2024-06-03
A1007,C007,brokerage,2023-08-09
A1008,C007,brokerage,2022-09-11
A1009,C008,checking,2021-10-14
A1010,C009,savings,2022-09-16
A1011,C009,checking,2021-08-26
A1012,C009,savings,2022-04-26
A1013,C010,checking,2023-07-19
A1014,C011,brokerage,2025-03-02
A1015,C011,savings,2026-04-22
A1016,C012,brokerage,2025-03-01
A1017,C013,brokerage,2023-04-30
A1018,C014,savings,2023-09-30
A1019,C015,checking,2026-05-03
A1020,C016,checking,2023-01-29
A1021,C017,checking,2026-05-01
A1022,C018,checking,2024-11-05
A1023,C018,brokerage,2024-01-21
A1024,C019,checking,2023-03-27
A1025,C020,business,2021-09-08
A1026,C021,brokerage,2021-07-07
A1027,C021,brokerage,2022-03-11
A1028,C022,checking,2026-06-12
A1029,C022,business,2021-04-14
A1030,C023,business,2021-09-15
A1031,C024,business,2021-05-21
A1032,C024,savings,2025-04-17
A1033,C025,business,2022-03-19
A1034,C026,business,2022-11-04
A1035,C026,business,2021-10-30
A1036,C027,checking,2021-01-06
A1037,C027,checking,2025-10-25
A1038,C027,savings,2021-09-24
A1039,C028,checking,2021-12-24
A1040,C029,checking,2021-02-22
A1041,C029,checking,2021-01-31
A1042,C030,savings,2022-05-03
A1043,C030,checking,2022-10-26
A1044,C031,checking,2021-04-18
A1045,C032,checking,2023-12-14
A1046,C032,checking,2025-03-08
A1047,C033,checking,2025-05-13
A1048,C034,checking,2023-10-29
A1049,C034,savings,2026-04-21
A1050,C035,business,2025-05-24
A1051,C036,savings,2022-09-10
A1052,C036,checking,2024-08-10
A1053,C037,business,2023-09-08
A1054,C038,checking,2024-11-06
A1055,C039,savings,2026-02-07
A1056,C039,checking,2021-05-31
A1057,C040,checking,2021-10-31
A1058,C041,brokerage,2024-07-02
A1059,C042,checking,2024-12-29
A1060,C042,savings,2023-02-20
A1061,C043,savings,2023-07-19
A1062,C043,savings,2024-05-24
A1063,C044,checking,2024-12-08
A1064,C045,business,2024-08-26
A1065,C045,brokerage,2024-02-04
A1066,C046,savings,2023-05-31
A1067,C046,checking,2025-12-24
A1068,C047,savings,2025-08-22
A1069,C048,checking,2025-02-03
A1070,C049,brokerage,2022-10-03
A1071,C050,checking,2026-05-07
A1072,C051,checking,2023-08-30
A1073,C051,business,2021-07-06
A1074,C052,brokerage,2025-03-05
A1075,C052,business,2023-02-03
A1076,C053,savings,2021-05-03
A1077,C054,checking,2024-02-25
A1078,C054,checking,2024-10-04
A1079,C054,checking,2023-04-22
A1080,C055,business,2026-04-12
A1081,C055,business,2023-05-17
A1082,C056,checking,2021-04-16
A1083,C056,checking,2024-05-14
A1084,C056,checking,2022-12-22
A1085,C057,checking,2022-03-12
A1086,C057,savings,2024-09-06
A1087,C058,checking,2021-08-10
A1088,C059,checking,2023-01-23
A1089,C059,checking,2025-04-11
A1090,C060,savings,2025-07-12
A1091,C060,savings,2025-09-27
A1092,C061,savings,2025-08-04
A1093,C061,brokerage,2024-06-10
A1094,C061,savings,2024-08-09
A1095,C062,brokerage,2026-03-18
A1096,C063,checking,2022-07-02
A1097,C063,checking,2022-01-05
A1098,C064,checking,2022-09-25
A1099,C064,checking,2022-12-20
A1100,C065,savings,2021-10-21
A1101,C066,checking,2021-05-23
A1102,C066,brokerage,2025-02-26
A1103,C067,brokerage,2021-07-07
A1104,C067,checking,2023-12-23
A1105,C067,savings,2023-02-10
A1106,C068,checking,2021-11-19
A1107,C069,business,2022-10-27
A1108,C070,checking,2024-05-06
A1109,C070,checking,2025-12-15
A1110,C070,checking,2021-11-15
A1111,C071,brokerage,2021-04-12
A1112,C071,checking,2021-06-17
A1113,C072,savings,2023-05-19
A1114,C073,checking,2023-04-29
A1115,C073,business,2022-03-18
A1116,C074,savings,2022-12-08
A1117,C074,checking,2021-08-16
A1118,C075,savings,2024-04-29
A1119,C075,brokerage,2023-12-16
A1120,C076,savings,2022-03-28
A1121,C077,checking,2022-02-23
A1122,C077,checking,2026-04-21
A1123,C077,checking,2025-04-21
A1124,C078,checking,2022-08-16
A1125,C078,checking,2021-09-03
A1126,C079,checking,2023-06-01
A1127,C079,savings,2021-09-22
A1128,C080,savings,2022-04-17
A1129,C080,business,2024-02-19
A1130,C081,checking,2022-12-27
A1131,C081,business,2023-03-25
A1132,C082,checking,2023-06-13
A1133,C082,checking,2023-07-31
A1134,C083,savings,2024-03-25
A1135,C083,savings,2024-03-20
A1136,C084,checking,2023-05-06
A1137,C084,savings,2021-08-24
A1138,C085,checking,2022-10-28
A1139,C086,savings,2024-06-19
A1140,C086,brokerage,2025-08-31
A1141,C087,savings,2021-06-30
A1142,C087,checking,2025-09-26
A1143,C087,savings,2022-05-14
A1144,C088,checking,2023-12-10
A1145,C088,business,2023-03-22
A1146,C089,checking,2022-11-27
A1147,C090,checking,2021-12-11
A1148,C091,checking,2023-11-11
A1149,C091,business,2026-01-30
A1150,C092,business,2025-01-29
A1151,C093,checking,2021-10-30
A1152,C093,checking,2021-07-30
A1153,C094,savings,2021-12-22
A1154,C095,brokerage,2025-04-04
A1155,C096,business,2026-05-03
A1156,C097,business,2023-08-09
A1157,C097,business,2024-02-29
