device_id,customer_id,ip_address,device_type
D001,C001,198.51.100.145,tablet
D002,C001,203.0.113.204,desktop
D003,C002,203.0.113.181,mobile
D004,C002,203.0.113.173,tablet
D005,C003,192.0.2.94,desktop
D006,C004,192.0.2.89,tablet
D007,C005,192.0.2.41,mobile
D008,C006,192.0.2.131,mobile
D009,C007,203.0.113.35,tablet
D010,C008,192.0.2.214,mobile
D011,C009,192.0.2.107,desktop
D012,C009,203.0.113.186,mobile
D013,C010,203.0.113.74,tablet
D014,C010,192.0.2.138,mobile
D015,C011,198.51.100.233,mobile
D016,C012,203.0.113.114,tablet
D017,C013,198.51.100.130,tablet
D018,C013,192.0.2.211,mobile
D019,C014,192.0.2.225,desktop
D020,C014,192.0.2.166,tablet
D021,C015,203.0.113.28,mobile
D022,C015,198.51.100.23,mobile
D023,C016,203.0.113.39,tablet
D024,C017,192.0.2.211,tablet
D025,C018,192.0.2.108,mobile
D026,C018,198.51.100.130,desktop
D027,C019,192.0.2.97,mobile
D028,C020,192.0.2.216,desktop
D029,C021,192.0.2.11,desktop
D030,C021,198.51.100.180,mobile
D031,C022,198.51.100.116,mobile
D032,C022,192.0.2.6,desktop
D033,C023,192.0.2.142,tablet
D034,C024,198.51.100.62,desktop
D035,C025,192.0.2.109,tablet
D036,C026,198.51.100.154,mobile
D037,C027,203.0.113.63,mobile
D038,C028,192.0.2.159,desktop
D039,C029,198.51.100.49,mobile
D040,C030,198.51.100.19,mobile
D041,C031,198.51.100.13,tablet
D042,C032,198.51.100.193,mobile
D043,C032,198.51.100.203,mobile
D044,C033,203.0.113.170,mobile
D045,C034,203.0.113.195,desktop
D046,C034,192.0.2.13,desktop
D047,C035,203.0.113.46,tablet
D048,C036,198.51.100.163,mobile
D049,C036,192.0.2.18,tablet
D050,C037,192.0.2.13,mobile
D051,C038,198.51.100.240,desktop
D052,C038,203.0.113.103,tablet
D053,C039,203.0.113.50,desktop
D054,C040,192.0.2.223,desktop
D055,C041,198.51.100.113,tablet
D056,C042,198.51.100.88,mobile
D057,C042,198.51.100.179,tablet
D058,C043,203.0.113.70,mobile
D059,C044,192.0.2.112,mobile
D060,C044,203.0.113.77,desktop
D061,C045,198.51.100.171,desktop
D062,C046,203.0.113.185,tablet
D063,C047,198.51.100.91,tablet
D064,C048,198.51.100.159,tablet
D065,C049,192.0.2.21,tablet
D066,C050,203.0.113.175,mobile
D067,C051,192.0.2.219,tablet
D068,C051,192.0.2.34,mobile
D069,C052,203.0.113.95,desktop
D070,C053,203.0.113.10,mobile
D071,C054,198.51.100.97,tablet
D072,C055,203.0.113.37,desktop
