transaction_id,sender_account_id,receiver_account_id,amount,timestamp
T0171,A1094,A1116,567.47,2026-07-01T13:24:00
T0513,A1155,A1049,158.02,2026-07-01T18:09:00
T0494,A1190,A1001,209.48,2026-07-01T23:42:00
T0317,A1196,A1174,339.28,2026-07-02T02:29:00
T0223,A1138,A1088,385.19,2026-07-02T04:57:00
T0375,A1038,A1142,1023.04,2026-07-02T09:26:00
T0533,A1044,A1117,144.39,2026-07-02T09:49:00
T0239,A1118,A1026,329.98,2026-07-02T10:07:00
T0413,A1099,A1106,87.83,2026-07-02T12:19:00
T0065,A1122,A1053,465.54,2026-07-02T17:29:00
T0048,A1185,A1195,99.56,2026-07-02T18:10:00
T0080,A1157,A1123,197.72,2026-07-02T20:32:00
T0316,A1173,A1052,92.03,2026-07-03T03:48:00
T0037,A1143,A1118,276.27,2026-07-03T07:33:00
T0643,A1037,A1073,53.54,2026-07-03T09:41:00
T0553,A1092,A1191,150.23,2026-07-03T10:27:00
T0555,A1179,A1191,758.72,2026-07-03T17:35:00
T0459,A1187,A1160,33.69,2026-07-04T04:08:00
T0153,A1144,A1007,345.21,2026-07-04T07:25:00
T0015,A1009,A1044,75.6,2026-07-04T15:23:00
T0460,A1148,A1103,323.63,2026-07-04T16:04:00
T0362,A1118,A1012,78.34,2026-07-04T22:10:00
T0646,A1036,A1177,274.83,2026-07-05T06:59:00
T0431,A1095,A1131,459.4,2026-07-05T07:47:00
T0226,A1107,A1125,76.79,2026-07-05T07:54:00
T0133,A1184,A1178,164.93,2026-07-05T09:36:00
T0370,A1091,A1156,58.27,2026-07-05T12:25:00
T0271,A1089,A1065,1047.43,2026-07-05T17:10:00
T0679,A1010,A1142,79.07,2026-07-05T19:41:00
T0280,A1067,A1169,110.1,2026-07-05T20:25:00
T0502,A1086,A1140,334.65,2026-07-06T01:42:00
T0629,A1154,A1002,336.11,2026-07-06T06:14:00
T0281,A1100,A1146,212.79,2026-07-06T07:04:00
T0681,A1073,A1118,80.0,2026-07-06T07:09:00
T0192,A1130,A1048,329.15,2026-07-06T07:12:00
T0035,A1125,A1023,618.32,2026-07-06T09:32:00
T0036,A1116,A1033,187.69,2026-07-06T14:07:00
T0408,A1041,A1073,260.22,2026-07-06T23:30:00
T0503,A1041,A1099,656.47,2026-07-07T03:59:00
T0433,A1042,A1197,192.21,2026-07-07T07:01:00
T0270,A1114,A1002,105.24,2026-07-07T12:05:00
T0078,A1019,A1171,33.41,2026-07-07T12:28:00
T0334,A1013,A1162,2361.5,2026-07-07T19:34:00
T0435,A1108,A1026,98.17,2026-07-07T21:32:00
T0514,A1066,A1044,150.61,2026-07-07T22:07:00
T0063,A1096,A1172,217.12,2026-07-07T22:59:00
T0241,A1021,A1149,1077.27,2026-07-08T03:48:00
T0470,A1096,A1093,789.11,2026-07-08T10:02:00
T0031,A1020,A1134,132.23,2026-07-08T10:37:00
T0547,A1172,A1130,165.92,2026-07-08T11:17:00
T0094,A1189,A1035,895.15,2026-07-08T11:19:00
T0526,A1158,A1091,92.97,2026-07-08T11:27:00
T0550,A1156,A1146,31.03,2026-07-08T12:49:00
T0085,A1178,A1057,24.46,2026-07-08T16:06:00
T0152,A1106,A1181,563.05,2026-07-08T20:35:00
T0556,A1197,A1101,30.38,2026-07-09T00:10:00
T0634,A1146,A1190,49.7,2026-07-09T01:51:00
T0130,A1006,A1123,56.34,2026-07-09T03:33:00
T0441,A1027,A1074,364.1,2026-07-09T04:58:00
T0102,A1113,A1092,296.59,2026-07-09T06:42:00
T0651,A1025,A1080,168.62,2026-07-09T08:17:00
T0563,A1079,A1088,172.82,2026-07-09T11:38:00
T0359,A1084,A1060,253.09,2026-07-09T12:47:00
T0257,A1126,A1138,94.64,2026-07-09T13:10:00
T0178,A1185,A1179,387.65,2026-07-09T15:13:00
T0425,A1129,A1040,131.82,2026-07-09T16:51:00
T0703,A1116,A1191,1299.87,2026-07-09T19:26:00
T0580,A1003,A1031,25.61,2026-07-09T21:15:00
T0238,A1044,A1007,222.81,2026-07-09T22:55:00
T0625,A1124,A1176,1237.75,2026-07-10T00:19:00
T0432,A1075,A1166,60.81,2026-07-10T01:37:00
T0485,A1129,A1175,153.11,2026-07-10T02:22:00
T0386,A1183,A1168,117.28,2026-07-10T04:51:00
T0011,A1013,A1025,106.35,2026-07-10T11:38:00
T0181,A1108,A1177,85.45,2026-07-10T15:45:00
T0275,A1018,A1008,107.4,2026-07-10T20:46:00
T0388,A1162,A1074,205.13,2026-07-11T00:15:00
T0665,A1163,A1189,31.07,2026-07-11T01:14:00
T0134,A1181,A1029,51.74,2026-07-11T06:54:00
T0297,A1179,A1159,358.22,2026-07-11T13:48:00
T0367,A1122,A1107,632.88,2026-07-11T14:58:00
T0717,A1076,A1129,260.11,2026-07-11T16:40:00
T0355,A1026,A1130,275.43,2026-07-11T17:03:00
T0687,A1182,A1041,276.0,2026-07-11T17:23:00
T0142,A1080,A1152,131.43,2026-07-11T17:32:00
T0025,A1167,A1092,256.1,2026-07-12T02:15:00
T0380,A1114,A1022,544.2,2026-07-12T03:19:00
T0216,A1081,A1069,663.96,2026-07-12T04:50:00
T0234,A1137,A1091,115.07,2026-07-12T05:57:00
T0180,A1113,A1002,49.76,2026-07-12T07:26:00
T0233,A1197,A1149,158.67,2026-07-12T07:45:00
T0004,A1081,A1122,361.58,2026-07-12T10:14:00
T0348,A1054,A1187,34.37,2026-07-12T13:03:00
T0589,A1160,A1015,943.13,2026-07-12T18:52:00
T0264,A1044,A1096,62.12,2026-07-12T22:11:00
T0530,A1130,A1071,89.27,2026-07-13T00:09:00
T0339,A1040,A1125,1659.86,2026-07-13T02:41:00
T0710,A1066,A1134,253.44,2026-07-13T03:21:00
T0259,A1000,A1084,441.75,2026-07-13T05:03:00
T0347,A1103,A1004,32.63,2026-07-13T06:37:00
T0017,A1074,A1009,208.46,2026-07-13T13:09:00
T0110,A1126,A1152,260.38,2026-07-13T15:58:00
T0565,A1002,A1000,212.39,2026-07-13T17:45:00
T0443,A1169,A1007,163.58,2026-07-13T17:55:00
T0262,A1101,A1150,67.54,2026-07-13T18:04:00
T0248,A1140,A1122,63.26,2026-07-13T19:47:00
T0621,A1039,A1024,52.57,2026-07-13T22:21:00
T0188,A1098,A1089,573.8,2026-07-14T01:27:00
T0324,A1014,A1153,141.34,2026-07-14T01:40:00
T0148,A1165,A1044,216.49,2026-07-14T02:28:00
T0464,A1093,A1128,661.3,2026-07-14T02:38:00
T0260,A1087,A1183,23.25,2026-07-14T05:26:00
T0481,A1123,A1043,79.51,2026-07-14T07:45:00
T0691,A1144,A1168,378.24,2026-07-14T11:53:00
T0548,A1097,A1157,66.59,2026-07-14T12:25:00
T0406,A1108,A1003,187.35,2026-07-14T13:28:00
T0540,A1060,A1142,149.18,2026-07-14T14:36:00
T0107,A1043,A1035,104.7,2026-07-14T14:47:00
T0630,A1078,A1134,32.53,2026-07-14T22:45:00
T0213,A1029,A1058,52.9,2026-07-14T23:51:00
T0336,A1135,A1076,56.76,2026-07-15T01:22:00
T0200,A1102,A1021,303.21,2026-07-15T05:32:00
T0420,A1065,A1001,66.14,2026-07-15T10:10:00
T0211,A1014,A1127,377.26,2026-07-15T15:38:00
T0587,A1152,A1039,141.27,2026-07-15T16:29:00
T0689,A1098,A1186,500.44,2026-07-15T21:18:00
T0357,A1133,A1051,119.11,2026-07-15T22:20:00
T0314,A1045,A1121,226.37,2026-07-16T05:12:00
T0206,A1030,A1003,594.54,2026-07-16T05:53:00
T0478,A1131,A1010,394.96,2026-07-16T11:22:00
T0292,A1146,A1173,729.09,2026-07-16T13:10:00
T0639,A1088,A1152,572.79,2026-07-16T17:44:00
T0558,A1113,A1160,46.47,2026-07-16T20:41:00
T0624,A1187,A1019,1147.15,2026-07-17T01:42:00
T0205,A1014,A1079,414.12,2026-07-17T07:42:00
T0702,A1177,A1179,387.21,2026-07-17T11:34:00
T0081,A1135,A1184,839.87,2026-07-17T15:36:00
T0693,A1186,A1196,547.22,2026-07-17T18:44:00
T0330,A1066,A1185,1675.95,2026-07-17T23:55:00
T0076,A1090,A1043,46.1,2026-07-18T02:03:00
T0698,A1160,A1142,359.98,2026-07-18T03:47:00
